"external","id","name","identifier"
"false","2","Test Instructions","9bf08ba8-13dc-47b3-b907-ad921bfc22ba"
"false","7","files","9e116fa6-e543-487c-b64e-3e600795c335"
"false","9","model","b79a9ca1-2a86-4e79-8298-0916b9068035"
"false","10","relation","ba57f545-5d51-4e6e-8859-02f1d079affd"
"false","4","beans","c195736f-02b6-4a6a-9521-9d504183fc9e"
"true","2","Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3"
"false","6","consistency","e0fada80-0f84-4546-a80c-7f0fbf21a46f"
"false","1","Build Instructions","fd47f927-c3f9-48ba-8913-693c88596cf5"
"true","1.1.5","Java 8 w/ JavaFX","18debf93-c474-4acb-930a-08dccd015fff"
"true","1.1.4","opencsv","55d83008-cd9e-4b84-8d75-15b2a8b31d98"
"false","8","fxml","5e437618-fca4-4025-9e9e-3e88b6ab9afa"
"true","1.2","Configuration Management System","61e29bdc-5cf4-45fa-b6af-bec240c87a30"
