"description","external","item","name","originX","originY","trace","uuid"
"Index Model (8 relation)","false","cd07422c-1c61-4e4e-acb6-73337283050c","Index Model","500","240","848a4aa5-3f30-4561-a6fc-01e4d5168dca","996312f0-6453-4dee-89a1-185767761f19"
"Process CSV (1.4 opencsv)","true","2b2af623-7254-4783-9144-903106df3cff","Process CSV","510","470","848a4aa5-3f30-4561-a6fc-01e4d5168dca","bc7ee126-2008-4049-ad69-1f0c67146036"
"Model Mementos (2 beans)","false","92d4aca0-736f-49fa-b6a6-920ee1e57228","Model Mementos","700","210","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d43ab53b-a6c5-4aac-8196-90d33b1d1413"
"Input Model (5 Runtime User)","true","0e9f8ef5-cf00-48b3-8c81-e51afa3336ea","Input Model","220","520","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d5ebb853-799a-4e1b-bc88-1a3b8150f4f8"
"Store Mementos (5 files)","false","4d542102-619d-479e-8c3f-b562eb8ebaf7","Store Mementos","650","340","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d69a03a3-2751-4470-836f-7802b93a2a7f"
"Modify Model (6 fxml)","false","5cde85bf-c68d-4347-a484-722d5a0874dd","Modify Model","330","340","848a4aa5-3f30-4561-a6fc-01e4d5168dca","059020e6-234e-4095-823a-555fc8feb7a7"
"Model System (7 model)","false","1147b873-7f37-473f-a19f-32516880c211","Model System","650","90","848a4aa5-3f30-4561-a6fc-01e4d5168dca","123428d0-3e1c-4dde-99d5-3257443d6302"
"Model Application State (1 baselines)","false","d82ac11b-a061-445a-b244-cfc10abbff36","Model Application State","330","100","848a4aa5-3f30-4561-a6fc-01e4d5168dca","2cdf8884-09af-4e3b-b6fa-63291e506067"
"Store Files (3 Runtime Filesystem)","true","98ec0213-d1e0-4736-860c-a0507f6bd5bd","Store Files","700","520","848a4aa5-3f30-4561-a6fc-01e4d5168dca","7d182653-479e-421f-9491-3ac2b863b62b"
"Resolve Inconsistency (4 consistency)","false","955b267b-be24-49db-808b-b69aa9f59a57","Resolve Inconsistency","120","220","848a4aa5-3f30-4561-a6fc-01e4d5168dca","7fa654d4-e6f5-4d10-b3c5-95dff1f87758"
