"external","id","name","uuid"
"false","2","beans","92d4aca0-736f-49fa-b6a6-920ee1e57228"
"false","4","consistency","955b267b-be24-49db-808b-b69aa9f59a57"
"true","3","Runtime Filesystem","98ec0213-d1e0-4736-860c-a0507f6bd5bd"
"false","8","relation","cd07422c-1c61-4e4e-acb6-73337283050c"
"false","1","baselines","d82ac11b-a061-445a-b244-cfc10abbff36"
"false","3","concurrent","e71771bf-e893-4204-a79f-177a75bc8b1a"
"true","5","Runtime User","0e9f8ef5-cf00-48b3-8c81-e51afa3336ea"
"false","7","model","1147b873-7f37-473f-a19f-32516880c211"
"true","1.4","opencsv","2b2af623-7254-4783-9144-903106df3cff"
"false","5","files","4d542102-619d-479e-8c3f-b562eb8ebaf7"
"false","6","fxml","5cde85bf-c68d-4347-a484-722d5a0874dd"
